Ar neskamba šis vardas kaip vidurnakčio Mirties šauksmas?	Does not this name sound like the very midnight call of Death?
Gyveno Wisborg'e Hutter su savo jauna žmona Ellen.	In Wisborg there lived a man called Hutter with his young wife Ellen...
"Kodėl nužudei jas... nuostabiąsias gėles...? !"	"Why have you destroyed them - the beautiful flowers?"
Viena buvo aišku: jis sumokėjo už savo žmones.	One thing was sure: he paid his people well.
mūsų mažame miestelyje nori... nusipirkti gražų namą..."	- His Grace - from Transylvania - wants to buy a beautiful house - in our little town..."
"Aš išvykstu keletui mėnesių į šmėklų ir vaiduoklių šalį."	"I may be away for several month, dear Ellen, away in a country of ghosts and robbers."
Temstant blogio dvasios darosi vis galingesnės."	The evil spirits become all-powerful after dark!"
Vos tik patekėjo saulė, nuo Hutter'io nuslinko nakties šešėliai.	As soon as the sun rose Hutter felt himself freed from the shadows of the night.
Šioje pilyje miegojau gan sunkei, bet nesijaudink...	One's dreams are heavy in this deserted castle, but do not fear...
Sulig prieblanda ir grėsmingais šešėliais tuščia pilis vėl atgijo.	With twilight the empty castle came alive again with menacing shadows.
"Ši moteris turi labai gražų kaklą..."	"Your wife has a beautiful neck..."
"Noriu pirkti gražų... namą, šalia tavo namo... "	"I shall take the house - the handsome deserted house opposite yours..."
Daktaras aprašė Ellen nerimą kaip lengvabūdišką elgesį.	The doctor described Ellen's anxietes as if the had been trifles.
Bet aš žinau, kad naktį jos siela girdėjo šauksmą.	But I know that in that night her soul had heard the call of death.
O Hutter, būdamas toli, girdėjo jos pagalbos šauksmą.	And Hutter, far away, had heard her cry of warning.
Plaustas pasirodė įtartinas dėl jų plukdomo kraupaus krovinio.	The raftsmen little suspected what terrible cargo they carried down the valley.
"Vakar valstiečiai atnešė jį į ligoninę.	"The peasants brought him into the hospital yesterday.
Sakė, kad jis nukrito nuo kalno.	They said he fell from a mountain.
Tuo pačiu metu Bulwer atskleidė keistų gamtos paslapčių.	The Empusa was chartered and carried his coffins filled with earth.
"Šią naktį į jūrą turi nueiti palaiminimas."	The ship must set sail this night.
Profesorius papasakojo savo studentams apie mėsėdžio augalo egzistavimą.	At the same time, professor Bulwar explained to his pupils the cruelty of carnivorous plants.
Nosferatu piešinį jau pamėgo Knock, namo raštininkas.	Already, Nosferatus's drawing near seemed to affect Knock, the house agent.
"Valstiečiai, kurie atnešė ligonį, visiškai išprotėjo..."	"The patient who was brought in yesterday has gone out of his mind!"
Ellen buvo dažnai matyta vieniša tarp kopų.	Ellen was often seen alone among the dunes.
Šioje pilyje miegojau gan sunkei, bet nesijaudink...	One's dreams are heavy in this deserted castle, but do not fear...
"Turiu eiti toliau... pasiekti namus trumpiausiu keliu !"	"No I have to get away - reach home by the shortest possible way!"
Lyg kokia epidemija, tai išplito po visą laivą.	Like an epidemic it spread over the entire ship.
Jūreivis, kuris parodė simptomą, taip pat užsikrėtė.	The first sailor who had shown the symptoms was followed by the entire crew into the dark grave of the waters.
"Apžiūrėjau viską... Ant borto nė vieno gyvo."	"I have examined everything - there is no living soul on board."
Vieną jūreivį ištiko karštligė. Kursas: SSW.	One sailor has contracted a fever.
Sako, kad kajutėje yra keistas keleivis.	Mate has begun to hallicunate, says a strange passenger is below deck. Course: SE.
- Panika ant borto - Trys vyrai miršta	- Panic on board - Three men dead already - mate out of his mind
- Padėjėjas išprotėja - Žiurkės laivo triume.	- Rats in the hold - I fear the plague...
Kol kas ji negali atsispirti keistam knygos žavesiui.	Yet she was unable to withstand its strange fascination.
"Jis stebi mane - kiekvieną vakarą....!"	"Look! Every night, in front of me..."
Panikos apimtas miestelis ieško vieno sergančio: tai Knock.	The panic-stricken town was looking for a scape-goat. It chose Knock.
Na, ponai, pažiūrėkime, ko dar išmokote.	Well gentlemen, let's see what else you have learned.
Markas Antonijus nebūtų pasakęs savo kalbos?	Mark Anthony hadn't held his oration?
- Iš kur gavai tas nuotraukas?	- How did you get those photos?
Tikriausiai kas nors jas įkišo į mano portfelį.	Somebody must have put them in my briefcase.
Bet mano pianolos Niekas negaus paliesti	But as formypianola No one gets to touch it
Jei kas nors nori man kompaniją palaikyti	Ifsomeone wants to accompany me
Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Vyrą, tikrą vyrą Man nusibodo jaunuoliai	A man, a real man I'm fed up with the young ones
Trumpai, vyrą, kuris dar nori bučiuotis ir tai sugeba	In short, a man who still wants To kiss and is good at it
Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Ką, po galais, jūs darote mano miegamajame?	What in the world are you doing in my bedroom?
Aš esu lmmanuelis Rathas... Vietinės gimnazijos profesirius!	I am Immanuel Rath... professor at the local college!
Jūs vedat iš kelio mano mokinius.	You are corrupting my students.
Manote, kad aš laikau vaikų darželį?	Do you think I'm running a kindergarten?
Norėčiau sužinoti, kur mano skrybėlė... Mečiau gerti.	I wish I knew where my hat... I've quit drinking.
Manai mane nors kiek kaso "menas"?	You think I give a damn about "art"?
Su kokiu tipu tu čia dabar šlaistaisi?	What fruit are you hanging out with now?
Man labai malonu susipažinti su viena miesto iškilių asmenybių.	I am delighted to meet one of the town's eminent personalities.
Profesoriau, leiskite man pagirti jūsų skonį.	Professor, let me commend you on your taste.
Aš atėjau, nes jūs vedate iš kelio mano mokinius.	I am here because you harbor my students.
Atstok nuo manęs su savo angliškom nesąmonėm!	Leave me alone with that English nonsense!
Ir tu atėjai nė trupučio dėl manęs?	And you didn't come because of me at all?
Šįvakar jūs čia ne oficialiu reikalu, manyčiau.	Tonight you're not here in official capacity, I assume.
Bijau, kad netinkamai elgiausi praeitą vakarą.	I'm afraid I didn't behave properly last night.
Jūsų berniukai turėtų jus tokį pamatyti.	Your boys should see you like this.
Tiesą sakant, jūs visai patrauklus vyras.	Actually, you're a pretty handsome man.
To jūreivio piniginė plyšta per siūles.	That's sailor's wallet is bursting.
Kaip tu drįsti kabinėtis prie šios damos?	How dare you molest this lady?
O jūs užsirašęs pas "šią damą"?	Do you have a subcription to "this lady"?
Atleiskite, Profesoriau, bet policija jau čia.	Excuse me, Professor, but the police are here.
Atstokit nuo manęs su tom nesąmonėm.	Leave me alone with that nonsense.
Šis vyras nori pateikti jums kaltinimus.	This man wants to press charges against you.
Manau, jūs suprantate, kokias pasekmes šis įvykis jums turės.	I assume you realize the consequences of this incident for you.
Dėl Dievo meilės, kas atsitiko, Profesoriau?	For God's sake, what's wrong, Professor?
Duosiu jums ypatingų vaistų iš savo asmeninės vaistinės.	I'll get you some special medicine from my personal pharmacy.
Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove
Norėčiau jums pristatyti vieną ypatingą svečią,	I would like to introduce to you our very special guest for tonight,
Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove
Tokia mano prigimtis Galiu tik mylėti	It is my nature I can only love
Sakyk, mielasis, tu visąlaik taip knarki?	Say, sweetheart, do you always snore like this?
Aš jus visus į kalėjimą pasodinsiu!	I'll have you all put in jail!
Jūs kalbate apie mano būsimą žmoną!	You're talking about my future wife!
Brangioji panele Lola, aš jums dar šį tą atnešiau.	My dear Miss Lola, I brought you something else.
Ar priimsite šitai kaip dovaną nuo manęs?	Will you accept this as a present from me?
Ir ar galiu tuo pačiu paprašyti jūsų rankos?	And may I at the same time ask for your hand?
Tikiuosi, mano vaike, supranti šios progos rimtumą.	I hope, my child, you realize the seriousness of this occasion.
Mano vestuvės taip pat buvo labai gražios.	My wedding was beautiful, too.
Jis vėl demonstruos vieną savo triukų.	He'll do one of his tricks again.
To nebus, kol aš turiu bent centą!	Not as long as I own a penny!
Kas manaisi esąs, vadindamas juos "netašyta banda"?	Who do you think you are, calling them an "ignorant bunch"?
Bet tavo vyras taps didele žvaigžde!	But your husband has become a big shot!
Pažiūrėk į kontraktą, kurį patvirtinau telegrafu.	Look at the contract, sealed via telegraph.
Niekad nemaniau, kad vėl šliaušiu į šitą skylę.	I'd never thought I'd be crawling back into this hole again.
Jūs taip pat nenumetėt daug svorio.	You haven't lost much weight, either.
Dar pasimatysim, bet tikiuosi ne per artimiausius dešimt metų.	See you, but not in the next ten years, I hope.
Dar savaitė su juo ir būčiau galėjęs bankrutuoti.	One more week with him, and I could have closed down.
Bet visuomet prisimink, kad ji plėšrūnė Saugokis blondinių	But always remember she's a predator watch out forblondes
Šis vakaras nulems visą tavo karjerą.	This evening will determine your whole career.
Jei vakaras gerai nusiseks, vadinasi tau pavyko.	If everything goes well, you've got it made.
Aš taip pat jaučiausi prieš pirmą pasirodymą.	I felt the same way the first time around.
Kai pamatau gražią moterį, tampu agresyvus.	When I see a beautiful woman, I go on the offensive.
Kai tik aš geros nuotaikos, tu stengiesi ją sugadinti!	Every time I'm in a good mood you try to spoil it!
Na, taip būna net ir geriausiose šeimose!	Well, that happens in the best families!
Ponai ir ponios, prašau atleisti už vėlavimą...	Ladies and gentlemen, I apologize for the delay...
Kaip matau, visiškai nereikia tolesnių pristatymų...	I can see you don't need any further introduction...
Ponai ir ponios, leiskite jums pristatyti...	Ladies and gentlemen, allow me to introduce to you...
Žinau, jūs visi galvojete, kad balandis jau patupdytas ten.	I know you all think the dove has already been put there.
Ar būtumėt toks malonus ir išburtumėt man kelis?	Would you be so kind to conjure some up for me?
Iš Augusto nosies aš dabar ištrauksiu kelis kiaušinius.	From under August's nose, I will now conjure up some eggs.
Jūs manote, kad Augustas turi kiaušinius ant galvos.	You all think August has the eggs under his head.
Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove
Tokia mano prigimtis... Aš tegaliu mylėti	It is my nature... I can only love
Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove
- Turime pasiekti smuklę iki saulėlydžio.	- We must reach the inn before sundown.
Nosferatu... šią naktį, ponia, durys užsklendžiamos ir meldžiamės Mergelei.	Nosferatu... On this night, madame, the doors, they are barred... and to the Virgin we pray.
Atleiskite, bet mane pasitinka karieta vidurnaktį Borgo perėjoje.	Well, I'm sorry, but there's a carriage meeting me at Borgo Pass at midnight.
Mes, kalnų gyventojai, tikime, kad pilyje yra vampyrų!	We people of the mountains believe... at the castle there are vampires!
Jie įgyja vilkų ir šikšnosparnių pavidalą.	They take the form of wolves and bats.
Palieka savo karstus naktį ir minta gyvųjų krauju.	They leave their coffins at night... and they feed on the blood of the living.
Kai ji pasislėps, jie paliks karstus.	When it is gone, they leave their coffins.
Paaiškinau vežikui, kad tai – verslo reikalas.	I've explained to the driver that it's a matter of business with me.
Jei privalote važiuoti, dėvėkite jį vardan savo motinos.	If you must go, wear this, for your mother's sake.
Vežike, sakau, ką turite omenyje, važiuodamas taip...	I say, driver, what do you mean by going at this...
Nežinau, kas nutiko vežikui ir mano bagažui...	I don't know what happened to the driver and my luggage and...
Esu tikras, ši pilies dalis jums pasirodys svetingesnė.	I'm sure you will find this part of my castle more inviting.
Matote, ten buvo visi jūsų popieriai.	You see, all your papers were in...
Leidau sau liepti užnešti jūsų bagažą.	I took the liberty of having your luggage brought up.
Tikiuosi, paėmiau pakankamai etikečių jūsų bagažui.	Why, uh, I hope I've brought enough labels for your luggage.
Užsakiau laivą, kuris mus nugabens į Angliją.	I have chartered a ship to take us to England.
Šeimininke, juk ištesėsite savo pažadą, kai nusigausime į Londoną?	You will keep your promise when we get to London, won't you, Master?
Ne žmogiškų, bet menkų, turinčių kraujo.	Not human lives, but small ones... with blood in them.
Niekas nelipa į laivą, tik įgaliotieji.	Nobody goes aboard this here boat but the authorities.
Kai perduosi pranešimą, nebeatsiminsi nieko, ką dabar sakiau.	And after you deliver the message, you will remember nothing I now say.
- Kiek suprantu, ji šalia jūsų žemių.	- I understand it adjoins your grounds.
Bus smagu pamatyti šviesą tuose niūriuose senuose languose.	Oh, it'll be a relief to see light in those dismal old windows.
Ji man primena apgriuvusias dantytas mano pilies Transilvanijoje sienas.	It reminds me of the broken battlements... of my own castle in Transylvania.
Abatija man visada primena tą seną tostą:	The abbey always reminds me of that old toast... about lofty timbers.
"Tu mirusiajam taurę duoki, pasveikink tą, kas mirs."	"Pass a cup to the dead already, a round for the next to die..."
Yra daug baisesnių dalykų, laukiančių žmogaus, nei mirtis.	There are far worse things... awaiting man... than death.
