Àš išvykstù kẽletui mė́nesių į̃ šmė́klų ir̃ vaiduõklių šãlį.	Aš išvykstu keletui mėnesių į šmėklų ir vaiduoklių šalį.	I may be away for several month, dear Ellen, away in a country of ghosts and robbers.	mėnesių	3	mėnuo	Ncmpgn-	exception
Àš išvykstù kẽletui mė́nesių į̃ šmė́klų ir̃ vaiduõklių šãlį.	Aš išvykstu keletui mėnesių į šmėklų ir vaiduoklių šalį.	I may be away for several month, dear Ellen, away in a country of ghosts and robbers.	šmėklų	5	šmėkla	Ncfpgn-	2femIA
Àš išvykstù kẽletui mė́nesių į̃ šmė́klų ir̃ vaiduõklių šãlį.	Aš išvykstu keletui mėnesių į šmėklų ir vaiduoklių šalį.	I may be away for several month, dear Ellen, away in a country of ghosts and robbers.	vaiduoklių	7	vaiduoklis	Ncmpgn-	1mascIS
Mãnote, kàd àš laikaũ vaikų̃ daržẽlį?	Manote, kad aš laikau vaikų darželį?	Do you think I'm running a kindergarten?	vaikų	5	vaikas	Ncmpgn-	1mascIAS
Mán labaĩ malonù susipažìnti sù víena miẽsto iškilių̃ asmenýbių.	Man labai malonu susipažinti su viena miesto iškilių asmenybių.	I am delighted to meet one of the town's eminent personalities.	asmenybių	8	asmenybė	Ncfpgn-	2femĖ
Dúosiu jùms ypatìngų váistų ìš sàvo asmenìnės váistinės.	Duosiu jums ypatingų vaistų iš savo asmeninės vaistinės.	I'll get you some special medicine from my personal pharmacy.	vaistų	3	vaistas	Ncmpgn-	1mascIAS
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	kojų	3	koja	Ncfpgn-	2femIA
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	pirštų	4	pirštas	Ncmpgn-	1mascIAS
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	kojų	3	koja	Ncfpgn-	2femIA
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	pirštų	4	pirštas	Ncmpgn-	1mascIAS
Jìs vė̃l demonstruõs víeną sàvo triùkų.	Jis vėl demonstruos vieną savo triukų.	He'll do one of his tricks again.	triukų	5	triukas	Ncmpgn-	1mascIAS
Dár pasimatýsim, bèt tikiúosi nè per̃ artimiáusius dẽšimt mẽtų.	Dar pasimatysim, bet tikiuosi ne per artimiausius dešimt metų.	See you, but not in the next ten years, I hope.	metų	9	metai	Ncmpgn-	1mascIAS
Bèt visuomèt prisimiñk, kàd jì plėšrū̃nė Sáugokis blondìnių	Bet visuomet prisimink, kad ji plėšrūnė Saugokis blondinių	But always remember she's a predator watch out forblondes	blondinių	8	blondinė	Ncfpgn-	2femĖ
